Rk,Player,Age,G,GS,MP,FG,FGA,ThreeP,ThreePA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FGP,ThreePer,FTP,MPAVG,PTSAVG,TRBAVG,ASTAVG,STLAVG,BLKAVG,Series,ID
7,Jared Dudley,29,6,0,110,14,30,8,14,4,7,3,8,11,8,12,2,5,12,40,0.46700001,0.57099998,0.57099998,18.4,6.6999998,1.8,1.3,2,0.30000001,East 1stRd_15,33
8,Zaza Pachulia,30,6,6,129,16,40,0,0,8,13,11,29,40,9,10,3,5,15,40,0.40000001,,0.61500001,21.4,6.6999998,6.6999998,1.5,1.7,0.5,East 1stRd_15,34
9,Jerryd Bayless,26,6,0,120,12,35,2,7,13,17,4,11,15,18,2,2,4,12,39,0.34299999,0.28600001,0.76499999,20,6.5,2.5,3,0.30000001,0.30000001,East 1stRd_15,35
10,Johnny O'Bryant,21,1,0,12,3,8,0,0,0,0,1,2,3,0,0,0,0,1,6,0.375,,,12,6,3,0,0,0,East 1stRd_15,36
11,Tyler Ennis,20,1,0,16,2,9,1,5,0,0,3,1,4,3,0,0,0,1,5,0.222,0.2,,16.4,5,4,3,0,0,East 1stRd_15,37
12,Miles Plumlee,26,1,0,16,1,8,0,0,1,2,3,3,6,1,0,1,1,1,3,0.125,,0.5,16.4,3,6,1,0,1,East 1stRd_15,38
13,Jorge Gutierrez,26,1,0,12,1,2,0,0,0,0,0,1,1,1,0,0,0,1,2,0.5,,,12,2,1,1,0,0,East 1stRd_15,39
1,Jimmy Butler,25,6,6,253,50,105,15,37,34,43,8,25,33,23,15,5,14,9,149,0.47600001,0.405,0.79100001,42.099998,24.799999,5.5,3.8,2.5,0.80000001,East 1stRd_15,40
2,Derrick Rose,26,6,6,220,41,100,15,40,17,19,5,21,26,39,9,3,26,11,114,0.41,0.375,0.89499998,36.700001,19,4.3000002,6.5,1.5,0.5,East 1stRd_15,41
3,Pau Gasol,34,6,6,208,37,76,0,4,24,33,11,60,71,22,3,14,16,13,98,0.48699999,0,0.727,34.700001,16.299999,11.8,3.7,0.5,2.3,East 1stRd_15,42
4,Mike Dunleavy,34,6,6,181,20,40,17,31,6,6,3,21,24,18,4,1,8,17,63,0.5,0.54799998,1,30.200001,10.5,4,3,0.69999999,0.2,East 1stRd_15,43
5,Taj Gibson,29,6,0,130,16,36,0,0,11,16,14,21,35,8,3,7,9,10,43,0.44400001,,0.68800002,21.700001,7.1999998,5.8000002,1.3,0.5,1.2,East 1stRd_15,44
6,Joakim Noah,29,6,6,201,19,40,0,0,1,10,20,50,70,26,7,6,9,19,39,0.47499999,,0.1,33.599998,6.5,11.7,4.3000002,1.2,1,East 1stRd_15,45
7,Aaron Brooks,30,6,0,70,12,30,7,14,2,5,2,7,9,6,1,1,6,13,33,0.40000001,0.5,0.40000001,11.7,5.5,1.5,1,0.2,0.2,East 1stRd_15,46
8,Tony Snell,23,6,0,99,10,29,6,20,2,2,1,10,11,4,0,2,5,11,28,0.345,0.30000001,1,16.4,4.6999998,1.8,0.69999999,0,0.30000001,East 1stRd_15,47
9,Nikola Mirotic,23,5,0,82,9,30,4,16,1,2,2,13,15,8,3,2,4,7,23,0.30000001,0.25,0.5,16.4,4.5999999,3,1.6,0.60000002,0.40000001,East 1stRd_15,48
10,Kirk Hinrich,34,4,0,29,2,7,1,3,0,0,0,1,1,3,1,0,0,2,5,0.28600001,0.333,,7.1999998,1.3,0.30000001,0.80000001,0.30000001,0,East 1stRd_15,49
11,Doug McDermott,23,1,0,6,1,3,1,2,2,2,1,0,1,0,0,0,1,0,5,0.333,0.5,1,6.0999999,5,1,0,0,0,East 1stRd_15,50
12,E'Twaun Moore,25,1,0,4,1,2,1,1,0,0,0,3,3,0,0,0,0,1,3,0.5,1,,4.3000002,3,3,0,0,0,East 1stRd_15,51
13,Nazr Mohammed,37,1,0,7,1,3,0,0,0,0,1,0,1,0,0,1,0,0,2,0.333,,,6.6999998,2,1,0,0,1,East 1stRd_15,52
1,Derrick Rose,26,6,6,234,52,135,8,26,18,20,8,24,32,39,5,3,12,11,130,0.38499999,0.308,0.89999998,38.900002,21.700001,5.3000002,6.5,0.80000001,0.5,East Semi_15,53
2,Jimmy Butler,25,6,6,254,44,108,13,35,25,29,10,24,34,15,14,4,7,18,126,0.40700001,0.37099999,0.86199999,42.299999,21,5.6999998,2.5,2.3,0.69999999,East Semi_15,54
3,Mike Dunleavy,34,6,6,208,23,48,10,25,12,13,4,20,24,13,6,4,7,14,68,0.479,0.40000001,0.92299998,34.599998,11.3,4,2.2,1,0.69999999,East Semi_15,55
4,Pau Gasol,34,4,4,109,19,39,0,0,8,9,6,17,23,9,2,7,5,5,46,0.48699999,,0.889,27.200001,11.5,5.8000002,2.3,0.5,1.8,East Semi_15,56
5,Taj Gibson,29,6,2,146,18,36,0,0,10,14,11,20,31,4,1,5,2,15,46,0.5,,0.71399999,24.4,7.6999998,5.1999998,0.69999999,0.2,0.80000001,East Semi_15,57
6,Nikola Mirotic,23,6,0,81,11,36,3,14,15,18,5,10,15,1,3,4,4,15,40,0.30599999,0.214,0.833,13.6,6.6999998,2.5,0.2,0.5,0.69999999,East Semi_15,58
7,Joakim Noah,29,6,6,194,12,36,0,0,6,10,25,37,62,12,3,8,11,18,30,0.333,,0.60000002,32.299999,5,10.3,2,0.5,1.3,East Semi_15,59
8,Aaron Brooks,30,6,0,62,9,31,1,12,2,2,1,8,9,5,2,0,3,3,21,0.28999999,8.2999997E-2,1,10.4,3.5,1.5,0.80000001,0.30000001,0,East Semi_15,60
9,Kirk Hinrich,34,6,0,97,7,12,5,7,2,3,0,4,4,8,2,1,1,12,21,0.583,0.71399999,0.667,16.1,3.5,0.69999999,1.3,0.30000001,0.2,East Semi_15,61
10,Tony Snell,23,5,0,42,5,15,3,7,2,2,0,6,6,2,0,1,0,2,15,0.333,0.42899999,1,8.3000002,3,1.2,0.40000001,0,0.2,East Semi_15,62
11,Nazr Mohammed,37,2,0,7,1,4,0,1,0,0,2,2,4,0,0,0,0,0,2,0.25,0,,3.4000001,1,2,0,0,0,East Semi_15,63
12,E'Twaun Moore,25,2,0,4,1,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0.25,,,2.0999999,1,0,0,1,0,East Semi_15,64
13,Doug McDermott,23,2,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,,,1.7,0,0.5,0.5,0,0,East Semi_15,65
1,LeBron James,30,4,4,172,42,90,4,20,20,27,2,34,36,26,9,6,19,8,108,0.46700001,0.2,0.741,43,27,9,6.5,2.3,1.5,East 1stRd_15,66
2,Kyrie Irving,22,4,4,162,30,69,12,25,21,26,5,15,20,17,4,4,5,13,93,0.435,0.47999999,0.80800003,40.599998,23.299999,5,4.3000002,1,1,East 1stRd_15,67
3,Kevin Love,26,4,4,107,17,41,9,21,14,19,6,22,28,10,1,2,6,12,57,0.41499999,0.42899999,0.73699999,26.700001,14.3,7,2.5,0.30000001,0.5,East 1stRd_15,68
4,Timofey Mozgov,28,4,4,98,14,26,0,0,11,12,12,20,32,0,1,12,9,15,39,0.53799999,,0.917,24.5,9.8000002,8,0,0.30000001,3,East 1stRd_15,69
5,J.R. Smith,29,4,4,107,15,41,8,30,1,2,3,10,13,4,9,0,2,13,39,0.366,0.26699999,0.5,26.799999,9.8000002,3.3,1,2.3,0,East 1stRd_15,70
6,Tristan Thompson,23,4,0,102,9,14,0,0,11,18,15,12,27,3,1,2,2,9,29,0.64300001,,0.611,25.4,7.3000002,6.8000002,0.80000001,0.30000001,0.5,East 1stRd_15,71
7,Iman Shumpert,24,4,0,116,7,15,2,8,12,12,4,18,22,2,4,4,1,10,28,0.46700001,0.25,1,29,7,5.5,0.5,1,1,East 1stRd_15,72
8,Matthew Dellavedova,24,4,0,43,3,11,2,7,2,4,0,4,4,5,0,0,3,7,10,0.273,0.28600001,0.5,10.7,2.5,1,1.3,0,0,East 1stRd_15,73
9,James Jones,34,4,0,46,3,13,2,11,2,2,0,5,5,0,0,1,0,5,10,0.23100001,0.182,1,11.5,2.5,1.3,0,0,0.30000001,East 1stRd_15,74
